accuracy,val_accuracy,loss,val_loss
0.5671641826629639,0.9593023061752319,0.839160680770874,0.26234206557273865
0.8805969953536987,1.0,0.2716781198978424,0.02665109746158123
1.0,1.0,0.018000876531004906,0.00019757781410589814
1.0,1.0,0.003339235670864582,8.605868788436055e-05
1.0,1.0,0.0010924391681328416,0.00025014608399942517
1.0,1.0,0.0009703119285404682,2.9616401661769487e-05
1.0,1.0,0.00019999394135084003,2.3430180590366945e-05
1.0,1.0,9.936309652402997e-05,1.6103851521620527e-05
1.0,1.0,6.264821422519162e-05,9.735484127304517e-06
1.0,1.0,0.0001153989287558943,8.545499440515414e-06
1.0,1.0,6.286057032411918e-05,6.123262664914364e-06
1.0,1.0,3.9758928323863074e-05,4.209710823488422e-06
1.0,1.0,1.965122646652162e-05,3.1666479571867967e-06
1.0,1.0,3.724458292708732e-05,2.5914018806361128e-06
1.0,1.0,1.9514434825396165e-05,2.0646675693569705e-06
1.0,1.0,2.3114234863896854e-05,1.9960521058237646e-06
1.0,1.0,2.0834841052419506e-05,2.0764498458447633e-06
1.0,1.0,1.9569693904486485e-05,1.9440713003859855e-06
1.0,1.0,1.7575674064573832e-05,1.4568428241545917e-06
1.0,1.0,1.3446008779283147e-05,1.096445657822187e-06
1.0,1.0,1.3366534403758124e-05,9.737713071444887e-07
1.0,1.0,7.724074748693965e-06,9.66840161709115e-07
1.0,1.0,7.668467333132867e-06,7.422844987559074e-07
1.0,1.0,9.539042366668582e-06,7.388188691948017e-07
1.0,1.0,1.536799391033128e-05,6.695116780974786e-07
